date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:58	1328/1328	---MCZ	200	added ('OK')	text/css	etag:W/%2255e8f0767f39b8801d408c005c64a149%22	https://static.hsappstatic.net/cos-LanguageSwitcher/static-1.336/sass/LanguageSwitcher.css	H:/Bala/mayulonclothing/static.hsappstatic.net/cos-LanguageSwitcher/static-1.336/sass/LanguageSwitcher.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:58	2177/2177	---MCZ	200	added ('OK')	text/css	etag:W/%2230673b03f307010ab5c5068e0db496cf%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76066356625/1660402775326/module_76066356625_slidergarado.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76066356625/1660402775326/module_76066356625_slidergarado.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:58	1119/1119	---MCZ	200	added ('OK')	text/css	etag:W/%22fa436abceae13c480a4c3517247416a0%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76078645067/1660402763269/module_76078645067_categorycarousegarado.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76078645067/1660402763269/module_76078645067_categorycarousegarado.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:58	540/540	---MCZ	200	added ('OK')	text/css	etag:W/%22f8c97107f7f1ba4f74e4337a6b03fb89%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76078645129/1660402768930/module_76078645129_imageboxgarado.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76078645129/1660402768930/module_76078645129_imageboxgarado.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:59	1207/1207	---MCZ	200	added ('OK')	text/css	etag:W/%22596438aa0fd915dca1a47faab2600c87%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76079146903/1660402763093/module_76079146903_clientcarouselgarado.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76079146903/1660402763093/module_76079146903_clientcarouselgarado.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:59	1444/1444	---MCZ	200	added ('OK')	text/css	etag:W/%225cd357c73cdcdc8630c8bc2fdf5ca2d1%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76078646644/1660402773866/module_76078646644_productgarado.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76078646644/1660402773866/module_76078646644_productgarado.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:48:59	1660/1660	---MCZ	200	added ('OK')	text/css	etag:W/%22693cb2794c8a90e9538119834e4b4f51%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76079147062/1660402774633/module_76079147062_showcasegarado.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76079147062/1660402774633/module_76079147062_showcasegarado.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:00	1032/1032	---MCZ	200	added ('OK')	text/css	etag:W/%227cc7ff56895fdd685800e0cc56b4a13f%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76078972336/1660402776380/module_76078972336_teamboxgarado.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76078972336/1660402776380/module_76078972336_teamboxgarado.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:00	1290/1290	---MCZ	200	added ('OK')	text/css	etag:W/%22c5e0110dd2c7a56fa91c46e7ce541363%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76143685693/1660402778496/module_76143685693_testimonialgarado.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76143685693/1660402778496/module_76143685693_testimonialgarado.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:00	2184/2184	---MCZ	200	added ('OK')	text/css	etag:W/%2283bd96a35fa91e035fb0399ea36de8d2%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76052721783/1660402771243/module_76052721783_newsgarado.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76052721783/1660402771243/module_76052721783_newsgarado.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:00	543/543	---MCZ	200	added ('OK')	text/css	etag:W/%22b8e09afbf5794f6f59cc096127eb2b6a%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76079859733/1660402767546/module_76079859733_iconboxgarado.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76079859733/1660402767546/module_76079859733_iconboxgarado.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:01	727/727	---MCZ	200	added ('OK')	text/css	etag:W/%22c431b21190c295c20bf78ddfd533d5c2%22	https://cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76183867311/1660402769876/module_76183867311_listitemsgarado.min.css	H:/Bala/mayulonclothing/cdn2.hubspot.net/hub/20012418/hub_generated/module_assets/76183867311/1660402769876/module_76183867311_listitemsgarado.min.css	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:01	17284/17284	---M--	200	added ('OK')	font/woff2	etag:%229bd9f0caab5d11078b9605b91890d9f9%22	https://steelthemes-20012418.hs-sites.com/_hcms/googlefonts/Jost/regular.woff2	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/_hcms/googlefonts/Jost/regular.woff2	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:03	23832/23832	---M--	200	added ('OK')	font/woff	etag:%22e81d083dacebcf47968775e2ebbd14de%22	https://steelthemes-20012418.hs-sites.com/_hcms/googlefonts/Jost/regular.woff	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/_hcms/googlefonts/Jost/regular.woff	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:03	56336/56336	---M--	200	added ('OK')	font/woff2	etag:%2276e9afa1ad8cca40c74676f7c64bfb2e%22	https://steelthemes-20012418.hs-sites.com/_hcms/googlefonts/Rubik/regular.woff2	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/_hcms/googlefonts/Rubik/regular.woff2	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:03	72244/72244	---M--	200	added ('OK')	font/woff	etag:%22907850bde9131d5724f7c9552721acc6%22	https://steelthemes-20012418.hs-sites.com/_hcms/googlefonts/Rubik/regular.woff	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/_hcms/googlefonts/Rubik/regular.woff	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:06	111150/111150	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2008:19:28%20GMT	http://steelthemes-20012418.hs-sites.com/en-in/garado	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/en-in/garado.html	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:07	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2007%20Feb%202025%2008:19:30%20GMT	http://steelthemes-20012418.hs-sites.com/home?hsLang=en	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/home.1fc6eb.delayed	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:09	128254/128254	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2008:19:32%20GMT	https://steelthemes-20012418.hs-sites.com/home	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/home.html	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:10	2277/2277	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Aug%202022%2015:03:59%20GMT	https://20012418.fs1.hubspotusercontent-na1.net/hub/20012418/hubfs/logo-2.png?width=120&name=logo-2.png	H:/Bala/mayulonclothing/20012418.fs1.hubspotusercontent-na1.net/hub/20012418/hubfs/logo-2ec59.png	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:11	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2007%20Feb%202025%2008:19:35%20GMT	http://steelthemes-20012418.hs-sites.com/garado/landing-page?hsLang=en	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/garado/landing-pagec6eb	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:13	96509/96509	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2008:19:36%20GMT	https://steelthemes-20012418.hs-sites.com/garado/landing-page	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/garado/landing-page.html	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:14	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2007%20Feb%202025%2008:19:37%20GMT	https://steelthemes-20012418.hs-sites.com/garado?hsLang=en	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/garado.24c6eb.delayed	(from https://steelthemes-20012418.hs-sites.com/garado)
13:49:15	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2007%20Feb%202025%2008:19:38%20GMT	http://steelthemes-20012418.hs-sites.com/garado/about-us?hsLang=en	H:/Bala/mayulonclothing/steelthemes-20012418.hs-sites.com/garado/about-usc6eb	(from https://steelthemes-20012418.hs-sites.com/garado)
